firmID;year;CN8;expValue;impValue
ABC;2008;29305000;1.26;5
AKL;2008;01011010;10.1;2.2
AKL;2008;55159210;5.5;5.1
ABC;2008;61101290;2.11;6
ABC;2008;84439990;12.1;5
ABC;2008;50072021;1.0;8
ABC;2008;20079993;2.7;7.1
ABC;2008;62082100;2.3;10.1
ABC;2010;62082100;2.3;10.1
ABC;2008;84589120;6.1;2
XYZ;2008;29305000;8.8;9
XYZ;2008;61101290;0.5;5.2
XYZ;2008;62082100;6.2;1.3
XYZ;2008;84589120;1.0;0.7
XYZ;2008;84672191;2;8.8
XYZ;2008;95030029;6;9
XYZ;2008;68129910;10.2;2
ABC;2009;29305000;5.1;6.6
ABC;2009;62082100;7;7
ABC;2009;64029993;8;0.72
;2009;64029993;8;0.72
ABC;;64029993;8;0.72
ABC;2009;;8;0.72
ABC;2009;84136069;9.2;3.56
ABC;2009;87149990;9.9;1
ABC;2009;92099940;3.09;0.99
XYZ;2009;61101290;7;8.2
AKL;2009;55159210;5;3
XYZ;2009;62082100;8.8;5
XYZ;2009;95030029;2.2;4
XYZ;2009;64029993;0.02;3
XYZ;2009;84136069;3.2;8
XYZ;2009;27101961;8.63;7.02
ABC;2009;03055910;5.42;4
XYZ;2010;84136069;1.23;3
ABC;2010;03055910;9.52;
AKL;2010;55159210;4;0.2
AKL;2010;01019011;4;0.2
AKL;2008;55159210;7;0.9
AKL;2008;01051990;7;0.9
XYZ;2008;84136069;1.29;3.56
ABC;2008;84136069;1.26;5
XYZ;2008;01011010;1;4
XYZ;2008;01011010;2;6
XYZ;2008;01019030;2;6
ASDF;2009;01042090;1;6
ASDF;2010;01042090;1;6
ASDF;2010;01029079;5;7
ASDF;2010;02023050;10;3
ABC;2009;02072720;;
ASDF;2009;02101111;10;
ASDF;2008;02101290;5;
WALD;2008;02101290;5;8
WALD;2010;02101290;5;8
ASDF;2008;27101961;5;5
QWERT;2008;27101961;5;5
YXC;2008;02072410;5;6
YXC;2009;02072410;5;3
