firmID;year;PC8;sales
ABC;2012;10122015;3
ABC;2012;20146111;3
ABC;2012;24431250;5
ABC;2012;28122000;6
ABC;2012;32201340;2
ABC;2012;2410T131;
ABC;2012;299900Z1;4
XYZ;2012;10122015;3
XYZ;2012;20146111;4
XYZ;2012;243210Z1;7
XYZ;2012;25921150;3
XYZ;2012;20413260;4
XYZ;2012;16291200;10
XYZ;2012;15121210;
ABC;2013;10122015;11
ABC;2013;20146111;15
ABC;2013;10204200;12
ABC;2013;20153200;13
ABC;2013;26801400;12
ABC;2013;30913200;1
XYZ;2013;10122015;2
XYZ;2013;20146111;2
XYZ;2013;2410T241;3
XYZ;2013;28305130;3
XYZ;2013;28993910;3
ASDF;2011;08992900;5
ASDF;2011;100000Z1;3.2
ASDF;2011;26201200;2.77
QWERT;2011;24421155;3.72
QWERT;2011;17127335;3.32
QWERT;2012;24421155;9.82
QWERT;2012;10115070;2
ASDF;2012;100000Z1;3.2
ASDF;2012;14142489;8.53
ASDF;2012;26201200;2.79
ASDF;2013;26201200;7.79
ASDF;2013;14141230;5.79
ASDF;2013;100000Z1;9.9
ASDF;2013;NA;9.9
ASDF;2013;100000Z3;10
ASDF;2011;17121435;5
ASDF;2012;17121435;5
ASDF;2013;17121435;5
QWERT;2011;2015  7100;8
QWERT;2012;2015.7100;8
QWERT;2013;2015.7100;8
QWERT;;2015.7100;8
AAA;2012;20157100;8
